Disease,Specialist
Allergy,Allergist
Hypertension,Cardiologist
Heart attack,Cardiologist
Psoriasis,Dermatologist
Chicken pox,Dermatologist
Acne,Dermatologist
Impetigo,Dermatologist
Fungal infection,Dermatologist
Hypothyroidism,Endocrinologist
Diabetes,Endocrinologist
Hypoglycemia,Endocrinologist
Hyperthyroidism,Endocrinologist
GERD,Gastroenterologist
Peptic ulcer disease,Gastroenterologist
Jaundice,Gastroenterologist
Dimorphic hemmorhoids(piles),Gastroenterologist
Gastroenteritis,Gastroenterologist
Urinary tract infection,Gynecologist
Chronic cholestasis,Hepatologist
Hepatitis A,Hepatologist
Hepatitis B,Hepatologist
Hepatitis C,Hepatologist
Hepatitis E,Hepatologist
Hepatitis D,Hepatologist
Alcoholic hepatitis,Hepatologist
Malaria,Internal Medicine
Dengue,Internal Medicine
Migraine,Neurologist
Cervical spondylosis,Neurologist
Paralysis (brain hemorrhage),Neurologist
AIDS,Osteopathic
(vertigo) Paroxysmal Positional Vertigo,Otolaryngologist
Common Cold,Otolaryngologist
Typhoid,Pediatrician
Varicose veins,Phlebologist
Bronchial Asthma,Pulmonologist
Pneumonia,Pulmonologist
Osteoarthristis,Rheumatologist
Arthritis,Rheumatologist
Tuberculosis,Tuberculosis Specialist
Influenza,General Practitioner
Dysentery,Gastroenterologist
Cholera,Gastroenterologist
Yellow fever,Infectious Disease Specialist
Leptospirosis,Infectious Disease Specialist
Lyme disease,Infectious Disease Specialist
Meningitis,Neurologist
Encephalitis,Neurologist
Rabies,Neurologist
HIV/AIDS,Infectious Disease Specialist
Schizophrenia,Psychiatrist
Bipolar disorder,Psychiatrist
Depression,Psychiatrist
Anxiety disorder,Psychiatrist
Obsessive-compulsive disorder (OCD),Psychiatrist
Post-traumatic stress disorder (PTSD),Psychiatrist
Anemia,Hematologist
Sickle cell disease,Hematologist
Thalassemia,Hematologist
Hemophilia,Hematologist
Leukemia,Oncologist
Lymphoma,Oncologist
Breast cancer,Oncologist
Prostate cancer,Oncologist
Colon cancer,Oncologist
Melanoma,Oncologist
Kidney stones,Urologist
Bladder stones,Urologist
Prostate enlargement,Urologist
Erectile dysfunction,Urologist
Infertility,Reproductive Endocrinologist
Menopause,Obstetrician-Gynecologist
Pregnancy,Obstetrician-Gynecologist
Endometriosis,Obstetrician-Gynecologist
Pelvic inflammatory disease (PID),Obstetrician-Gynecologist
Polycystic ovary syndrome (PCOS),Obstetrician-Gynecologist
Premenstrual syndrome (PMS),Obstetrician-Gynecologist
Fibroids,Obstetrician-Gynecologist
Ovarian cancer,Gynecologic Oncologist
Uterine cancer,Gynecologic Oncologist
Cervical cancer,Gynecologic Oncologist
Vaginal cancer,Gynecologic Oncologist
Endometrial cancer,Gynecologic Oncologist
Coronary artery disease,Cardiologist
Angina pectoris,Cardiologist
Myocardial infarction,Cardiologist
Atherosclerosis,Cardiologist
Peripheral artery disease,Cardiologist
Arrhythmia,Cardiologist
Heart failure,Cardiologist
Valvular heart disease,Cardiologist
Cardiomyopathy,Cardiologist
Hypertrophic cardiomyopathy,Cardiologist
Dilated cardiomyopathy,Cardiologist
Restrictive cardiomyopathy,Cardiologist
Pericarditis,Cardiologist
Endocarditis,Cardiologist
Rheumatic fever,Cardiologist
Congenital heart disease,Cardiologist
Chronic obstructive pulmonary disease (COPD),Pulmonologist
Emphysema,Pulmonologist
Chronic bronchitis,Pulmonologist
Cystic fibrosis,Pulmonologist
Bronchiectasis,Pulmonologist
Interstitial lung disease,Pulmonologist
Pulmonary fibrosis,Pulmonologist
Sarcoidosis,Pulmonologist
Pleural effusion,Pulmonologist
Pneumothorax,Pulmonologist
Asbestosis,Pulmonologist
Silicosis,Pulmonologist
Occupational lung disease,Pulmonologist
Obstructive sleep apnea,Pulmonologist
Central sleep apnea,Pulmonologist
Mixed sleep apnea,Pulmonologist
Cheyne-Stokes respiration,Pulmonologist
Paroxysmal nocturnal dyspnea,Pulmonologist
Platypnea-orthodeoxia syndrome,Pulmonologist
Pulmonary embolism,Pulmonologist
Pulmonary hypertension,Pulmonologist
Primary pulmonary hypertension,Pulmonologist
Secondary pulmonary hypertension,Pulmonologist
Chronic thromboembolic pulmonary hypertension,Pulmonologist
Pulmonary edema,Pulmonologist
Neonatal respiratory distress syndrome,Pediatrician
Adult respiratory distress syndrome,Intensivist
Bronchiolitis,Pediatrician
Bronchiolitis obliterans,Pulmonologist
Respiratory syncytial virus infection,Pediatrician
Respiratory failure,Intensivist
Acute respiratory distress syndrome (ARDS),Intensivist
Pulmonary fibrosis,Interstitial Lung Disease Specialist
Pulmonary hypertension,Cardiologist
Cystic fibrosis,Pulmonologist
Sarcoidosis,Rheumatologist
Silicosis,Occupational Medicine Specialist
Interstitial lung disease,Interstitial Lung Disease Specialist
Pulmonary embolism,Cardiologist
Pleural effusion,Pulmonologist
Pulmonary edema,Pulmonologist
Pulmonary fibrosis,Interstitial Lung Disease Specialist
Chronic obstructive pulmonary disease (COPD),Pulmonologist
Occupational lung disease,Occupational Medicine Specialist
Asthma,Pulmonologist
Acute bronchitis,Pulmonologist
Chronic bronchitis,Pulmonologist
Bronchiectasis,Pulmonologist
Cystic fibrosis,Pulmonologist
Pneumonia,Pulmonologist
Tuberculosis,Pulmonologist
Asbestosis,Occupational Medicine Specialist
Emphysema,Pulmonologist
Pneumoconiosis,Occupational Medicine Specialist
Sleep apnea,Respiratory Therapist
Appendicitis,Gastroenterologist
Gastritis,Gastroenterologist
Gallstones,Gastroenterologist
Pancreatitis,Gastroenterologist
Peptic ulcer disease,Gastroenterologist
Diverticulitis,Gastroenterologist
Colitis,Gastroenterologist
Crohn's disease,Gastroenterologist
Ulcerative colitis,Gastroenterologist
Irritable bowel syndrome,Gastroenterologist
Hemorrhoids,Gastroenterologist
Gastroesophageal reflux disease (GERD),Gastroenterologist
Hepatitis,Hepatologist
Liver cancer,Hepatologist
Cirrhosis,Hepatologist
Cholangitis,Hepatologist
Cholecystitis,Hepatologist
Cholelithiasis,Hepatologist
Liver failure,Hepatologist
Nonalcoholic fatty liver disease,Hepatologist
Liver abscess,Hepatologist
Wilson's disease,Hepatologist
Hemochromatosis,Hepatologist
Primary biliary cirrhosis,Hepatologist
Gallbladder cancer,Hepatologist
Primary sclerosing cholangitis,Hepatologist
Gilbert's syndrome,Hepatologist
Celiac disease,Gastroenterologist
Barrett's esophagus,Gastroenterologist
Pancreatic cancer,Medical Oncologist
Pancreatic insufficiency,Gastroenterologist
Pancreatic pseudocyst,Gastroenterologist
Pancreatic abscess,Gastroenterologist
Pancreatic neuroendocrine tumor,Gastroenterologist
Pancreatic cyst,Gastroenterologist
Cystic fibrosis,Gastroenterologist
Acute pancreatitis,Gastroenterologist
Chronic pancreatitis,Gastroenterologist
Diabetic ketoacidosis,Endocrinologist
Hyperosmolar hyperglycemic state,Endocrinologist
Diabetic nephropathy,Nephrologist
Diabetic retinopathy,Ophthalmologist
Diabetic neuropathy,Neurologist
Diabetic foot ulcer,Wound Care Specialist
Diabetic dermopathy,Dermatologist
Diabetic gastroparesis,Gastroenterologist
Diabetic amyotrophy,Neurologist
Diabetic coma,Endocrinologist
Hypertensive nephropathy,Nephrologist
IgA nephropathy (Berger's disease),Nephrologist
Nephrotic syndrome,Nephrologist
Chronic kidney disease (CKD),Nephrologist
Polycystic kidney disease (PKD),Nephrologist
Acute kidney injury (AKI),Nephrologist
Interstitial nephritis,Nephrologist
Glomerulonephritis,Nephrologist
Renal tubular acidosis,Nephrologist
Wegener's granulomatosis,Rheumatologist
Goodpasture syndrome,Nephrologist
Henoch-Schonlein purpura,Rheumatologist
Systemic lupus erythematosus (SLE),Rheumatologist
Rheumatoid arthritis,Rheumatologist
Ankylosing spondylitis,Rheumatologist
Psoriatic arthritis,Rheumatologist
Reactive arthritis,Rheumatologist
Osteoporosis,Endocrinologist
Osteomalacia,Endocrinologist
Paget's disease of bone,Endocrinologist
Rickets,Endocrinologist
Primary hyperparathyroidism,Endocrinologist
Secondary hyperparathyroidism,Endocrinologist
Tertiary hyperparathyroidism,Endocrinologist
Hypoparathyroidism,Endocrinologist
Pseudohypoparathyroidism,Endocrinologist
Hyperthyroidism,Endocrinologist
Hypothyroidism,Endocrinologist
Thyroid cancer,Endocrinologist
Goiter,Endocrinologist
Graves' disease,Endocrinologist
Hashimoto's thyroiditis,Endocrinologist
Thyroid nodules,Endocrinologist
Thyroiditis,Endocrinologist
Diabetic ketoacidosis,Endocrinologist
Hyperosmolar hyperglycemic state,Endocrinologist
Hypoglycemia,Endocrinologist
Insulinoma,Endocrinologist
Diabetic nephropathy,Nephrologist
Diabetic retinopathy,Ophthalmologist
Diabetic neuropathy,Neurologist
Diabetic foot ulcer,Wound Care Specialist
Diabetic dermopathy,Dermatologist
Diabetic gastroparesis,Gastroenterologist
Diabetic amyotrophy,Neurologist
Diabetic coma,Endocrinologist
Meningitis,Neurologist
Encephalitis,Neurologist
